age_group,pb_level,BLL0,f_sys,dBLL_med_Post,dBLL_med_Pre,dBLL_p05_Post,dBLL_p05_Pre,dBLL_p95_Post,dBLL_p95_Pre,p_exceed_3_5_Post,p_exceed_3_5_Pre,p_exceed_5_Post,p_exceed_5_Pre,delta_dBLL_med,delta_dBLL_p05,delta_dBLL_p95,rr_exceed_3_5,rr_exceed_5
Child_3_6y,C_med,1,1,15.506668934270508,8.725454420567427,9.657758487163402,5.5658249347521735,24.74195642704281,13.780171989615674,1,1,0.9984999999999999,0.9973333333333333,6.78121451370308,4.091933552411229,10.961784437427134,1,1.0011697860962567
Child_3_6y,C_med,2,1,15.373665857350021,8.916323949763719,9.654097022843867,5.48834989011343,24.71910593906265,13.832808196714751,1,1,1,1,6.4573419075863026,4.165747132730437,10.8862977423479,1,1
Child_7_12y,C_high,0.5,0.25,6.491174187684057,4.443474157031407,4.077263537633171,2.6831393231090948,10.538577722620856,7.134669569294935,0.9691666666666667,0.899,0.7778333333333334,0.4846666666666667,2.04770003065265,1.3941242145240764,3.4039081533259203,1.0780496848350019,1.6048830811554333
Child_7_12y,C_high,1,0.25,6.467438137749674,4.456166834548078,3.942215537322263,2.7926331765288164,10.401123104011198,7.153759656506919,0.9928333333333333,0.9766666666666667,0.8551666666666666,0.643,2.011271303201596,1.1495823607934468,3.247363447504279,1.0165529010238907,1.3299637117677552
Child_7_12y,C_high,2,0.25,6.442744682523499,4.412334955229964,3.920790340397036,2.7339642193728073,10.410930933064284,7.396171095278507,1,0.9996666666666667,0.9651666666666667,0.9083333333333333,2.0304097272935353,1.1868261210242288,3.0147598377857774,1.0003334444814937,1.0625688073394497
Child_7_12y,C_high,0.5,0.5,13.050346178720291,8.896332478625396,8.100845408934362,5.422787144439272,20.91319042407109,14.351147855352403,1,1,0.9981666666666666,0.989,4.154013700094895,2.67805826449509,6.562042568718686,1,1.0092686215032018
Child_7_12y,C_high,1,0.5,12.908457211622505,8.844096316094756,7.955096770688087,5.567089658787678,20.753782946724712,14.241452276737336,1,1,0.9996666666666667,0.9973333333333333,4.064360895527749,2.388007111900409,6.512330669987376,1,1.0023395721925135
Child_7_12y,C_high,2,0.5,12.959054505764481,8.901073831972132,8.03449673410203,5.413444656849855,20.95374635865896,14.272877375758119,1,1,1,1,4.057980673792349,2.621052077252175,6.680868982900842,1,1
Child_7_12y,C_high,0.5,0.75,19.521713421814166,13.525160016358328,12.004853955860096,8.289428056660862,31.468594815786048,21.88134512163479,1,1,1,0.9996666666666667,5.996553405455838,3.715425899199234,9.587249694151257,1,1.0003334444814937
Child_7_12y,C_high,1,0.75,19.509409006994716,13.300954314262984,11.938722166373285,8.271273284372093,31.641765403093544,21.165074094141037,1,1,1,1,6.208454692731731,3.6674488820011923,10.476691308952507,1,1
Child_7_12y,C_high,2,0.75,19.375013476360177,13.28965386859593,11.937789437638276,8.285023517171673,31.602105467206442,20.82304861609927,1,1,1,1,6.0853596077642464,3.652765920466603,10.779056851107171,1,1
Child_7_12y,C_high,0.5,1,25.89031456651808,17.591162459324554,15.95130021803594,10.700688973058822,42.01875504172449,28.278017467268096,1,1,1,1,8.299152107193525,5.250611244977117,13.740737574456393,1,1
Child_7_12y,C_high,1,1,25.906204158179456,18.01191888428434,16.033086463330296,11.10367579754698,41.80717968891641,28.48615631031206,1,1,1,1,7.894285273895115,4.929410665783315,13.321023378604352,1,1
Child_7_12y,C_high,2,1,26.039550393102303,17.75414985991421,15.975082839111531,10.894097044934208,41.45476231605511,28.5827163978607,1,1,1,1,8.285400533188092,5.080985794177323,12.87204591819441,1,1
Child_7_12y,C_low,0.5,0.25,1.6367263730458097,0.7203554723225012,1.0053768889422847,0.4493162400959259,2.600467358842077,1.1698374048202846,0.1175,0,0.007166666666666667,0,0.9163709007233085,0.5560606488463589,1.4306299540217924,Inf,Inf
Child_7_12y,C_low,1,0.25,1.6459551840345612,0.7264587932331664,1.012951899646448,0.4436553644254159,2.5920860099734213,1.1556950730154933,0.23983333333333334,0,0.019333333333333334,0,0.9194963908013948,0.569296535221032,1.436390936957928,Inf,Inf
Child_7_12y,C_low,2,0.25,1.6294444196831424,0.7353004169674187,0.9979789694337667,0.4525695563000551,2.655725010409597,1.1620503466143737,0.4786666666666667,0.005666666666666667,0.12433333333333334,0,0.8941440027157237,0.5454094131337117,1.4936746637952234,84.47058823529412,Inf
Child_7_12y,C_low,0.5,0.5,3.2482489419360183,1.4643847593096742,1.9978876320044665,0.9025220914026567,5.181820987729034,2.3280984920780794,0.48066666666666663,0.006666666666666667,0.3075,0,1.7838641826263442,1.0953655406018097,2.8537224956509544,72.1,Inf
Child_7_12y,C_low,1,0.5,3.2613288010170076,1.4617443092429894,2.0259167306699686,0.9026065993395912,5.202081576778807,2.340935373933864,0.5305,0.031,0.3773333333333333,0,1.7995844917740182,1.1233101313303773,2.861146202844943,17.112903225806452,Inf
Child_7_12y,C_low,2,0.5,3.2697875703344814,1.4523467357962674,2.003248922566211,0.8987541529539155,5.229143357213825,2.341068708558144,0.8016666666666667,0.459,0.48550000000000004,0.006,1.817440834538214,1.1044947696122955,2.888074648655681,1.7465504720406682,80.91666666666667
Child_7_12y,C_low,0.5,0.75,4.913678532237848,2.1490909824663973,3.025040539584084,1.352529194954178,7.87180148694627,3.4775757650042625,0.627,0.122,0.48533333333333334,0.006333333333333333,2.7645875497714503,1.6725113446299058,4.394225721942007,5.139344262295082,76.63157894736842
Child_7_12y,C_low,1,0.75,4.891324642587334,2.199213229840043,3.022583278893252,1.3671577468823934,7.945279005730157,3.537410044444631,0.7368333333333333,0.31866666666666665,0.5131666666666667,0.021666666666666667,2.6921114127472907,1.6554255320108586,4.407868961285526,2.3122384937238496,23.684615384615384
Child_7_12y,C_low,2,0.75,4.883919425451219,2.196367730077953,2.969139070531562,1.350769779804622,7.80394685367258,3.596453179995059,0.9771666666666667,0.9046666666666666,0.6168333333333333,0.15066666666666667,2.6875516953732657,1.61836929072694,4.20749367367752,1.0801400147383937,4.094026548672566
Child_7_12y,C_low,0.5,1,6.481892713561457,2.9032054488367582,4.012774531071497,1.7875481731039615,10.443057730534312,4.7211763371927855,0.8063333333333333,0.45066666666666666,0.5678333333333334,0.07533333333333334,3.578687264724699,2.2252263579675358,5.721881393341526,1.7892011834319528,7.537610619469027
Child_7_12y,C_low,1,1,6.523526817621343,2.904289535669457,4.014311643632778,1.7641327313458837,10.429624871558786,4.659813673987924,0.9093333333333333,0.703,0.615,0.12666666666666668,3.6192372819518854,2.250178912286895,5.769811197570863,1.2935040303461356,4.855263157894736
Child_7_12y,C_low,2,1,6.535672636718678,2.9030297311693403,4.042067470958584,1.7809931423667034,10.473919955267212,4.690906459039472,0.998,0.9883333333333333,0.8056666666666666,0.4543333333333333,3.6326429055493374,2.261074328591881,5.783013496227739,1.0097807757166948,1.773294203961849
Child_7_12y,C_med,0.5,0.25,2.987662858121506,1.7257411413717039,1.8791948841485828,1.0627806608327035,4.777059762894045,2.7772483032546753,0.45833333333333337,0.025,0.2005,0,1.2619217167498022,0.8164142233158793,1.99981145963937,18.333333333333332,Inf
Child_7_12y,C_med,1,0.25,3.030337096673274,1.708339622078743,1.8875100096993238,1.0565453996252718,4.803554841857406,2.765867335041831,0.5468333333333334,0.1,0.29366666666666663,0.0016666666666666668,1.321997474594531,0.830964610074052,2.0376875068155753,5.468333333333334,176.19999999999996
Child_7_12y,C_med,2,0.25,3.0039304717896234,1.7262776470950594,1.8519192750812001,1.071742079784935,4.815615256042088,2.784929133842026,0.8596666666666667,0.675,0.45766666666666667,0.027,1.277652824694564,0.7801771952962651,2.0306861222000623,1.2735802469135802,16.950617283950617
Child_7_12y,C_med,0.5,0.5,6.056475499300346,3.4330255230116062,3.734459235984551,2.13045735831705,9.681802802231184,5.467984676302282,0.8598333333333333,0.6843333333333333,0.6013333333333333,0.168,2.6234499762887395,1.6040018776675011,4.213818125928902,1.2564539698002923,3.5793650793650786
