age_group,window,threshold_ug_dl,n_days,mean_bll,p95_bll,pct_days_exceed
Pregnant_Adult,90–180d post,5,1080,2.2165912194770097,4.586883579492759,3.6111111111111107
Pregnant_Adult,Pre-flood,3.5,2076,2.7791433684242475,7.460560851633026,24.277456647398843
Pregnant_Adult,Pre-flood,5,2076,2.7791433684242475,7.460560851633026,12.716763005780345
Teen_13_17y,0–90d post,3.5,1080,10.687259515141053,20.160262407515017,99.53703703703704
Teen_13_17y,0–90d post,5,1080,10.687259515141053,20.160262407515017,91.48148148148148
Teen_13_17y,180d+ post,3.5,3520,5.396538738392848,15.245752428196928,55.85227272727272
Teen_13_17y,180d+ post,5,3520,5.396538738392848,15.245752428196928,35.11363636363637
Teen_13_17y,90–180d post,3.5,1080,3.9516863327944165,8.177387418992556,51.01851851851852
Teen_13_17y,90–180d post,5,1080,3.9516863327944165,8.177387418992556,22.314814814814817
Teen_13_17y,Pre-flood,3.5,2076,4.954590981583673,13.300511205370261,51.73410404624278
Teen_13_17y,Pre-flood,5,2076,4.954590981583673,13.300511205370261,32.70712909441233
Toddler_1_2y,0–90d post,3.5,1080,29.11379934312747,54.91976999394886,100
Toddler_1_2y,0–90d post,5,1080,29.11379934312747,54.91976999394886,100
Toddler_1_2y,180d+ post,3.5,3520,14.701032173345702,41.53186103515944,98.7215909090909
Toddler_1_2y,180d+ post,5,3520,14.701032173345702,41.53186103515944,85.08522727272727
Toddler_1_2y,90–180d post,3.5,1080,10.76502379276578,22.27650747418218,100
Toddler_1_2y,90–180d post,5,1080,10.76502379276578,22.27650747418218,91.48148148148148
Toddler_1_2y,Pre-flood,3.5,2076,13.497096001153116,36.232713713517185,94.89402697495183
Toddler_1_2y,Pre-flood,5,2076,13.497096001153116,36.232713713517185,82.7552986512524
