age_group,period_flood,pb_level,f_sys,BLL0,threshold_ug_dl,dBLL_med,dBLL_p05,dBLL_p95,p_exceed,p_exceed_p05,p_exceed_p95
Child_7_12y,Recovery,C_med,0.75,2,5,5.413443914357721,3.302176217004299,8.855897714026533,0.9746666666666667,1,1
Child_7_12y,Recovery,C_med,1,0.5,3.5,7.259026297884199,4.519596100566402,11.6005821772103,0.999,1,1
Child_7_12y,Recovery,C_med,1,0.5,5,7.259026297884199,4.519596100566402,11.6005821772103,0.951,1,1
Child_7_12y,Recovery,C_med,1,1,3.5,7.2461151524312575,4.530716438019243,11.703445620129637,1,1,1
Child_7_12y,Recovery,C_med,1,1,5,7.2461151524312575,4.530716438019243,11.703445620129637,0.98,1,1
Child_7_12y,Recovery,C_med,1,2,3.5,7.290868833925602,4.485516583830904,11.41428411904819,1,1,1
Child_7_12y,Recovery,C_med,1,2,5,7.290868833925602,4.485516583830904,11.41428411904819,0.9983333333333333,1,1
Child_7_12y,Recovery,C_high,0.25,0.5,3.5,4.769860033290525,2.954392972016842,7.739695470302684,0.9443333333333334,0,1
Child_7_12y,Recovery,C_high,0.25,0.5,5,4.769860033290525,2.954392972016842,7.739695470302684,0.58,0,1
Child_7_12y,Recovery,C_high,0.25,1,3.5,4.80903933914121,2.9785068573222886,7.702302456603457,0.9873333333333333,1,1
Child_7_12y,Recovery,C_high,0.25,1,5,4.80903933914121,2.9785068573222886,7.702302456603457,0.7266666666666667,0,1
Child_7_12y,Recovery,C_high,0.25,2,3.5,4.745438270721431,2.9044900465470853,7.630310527644993,1,1,1
Child_7_12y,Recovery,C_high,0.25,2,5,4.745438270721431,2.9044900465470853,7.630310527644993,0.9346666666666666,0,1
Child_7_12y,Recovery,C_high,0.5,0.5,3.5,9.624612484349477,5.866443166116065,15.224297173690852,1,1,1
Child_7_12y,Recovery,C_high,0.5,0.5,5,9.624612484349477,5.866443166116065,15.224297173690852,0.9966666666666667,1,1
Child_7_12y,Recovery,C_high,0.5,1,3.5,9.571250757411487,5.907954831233127,15.62142868464872,1,1,1
Child_7_12y,Recovery,C_high,0.5,1,5,9.571250757411487,5.907954831233127,15.62142868464872,0.9993333333333333,1,1
Child_7_12y,Recovery,C_high,0.5,2,3.5,9.630156357361773,5.815108645647095,15.104613202048156,1,1,1
Child_7_12y,Recovery,C_high,0.5,2,5,9.630156357361773,5.815108645647095,15.104613202048156,1,1,1
Child_7_12y,Recovery,C_high,0.75,0.5,3.5,14.182739716139642,8.895283794474057,23.100674634075336,1,1,1
Child_7_12y,Recovery,C_high,0.75,0.5,5,14.182739716139642,8.895283794474057,23.100674634075336,1,1,1
Child_7_12y,Recovery,C_high,0.75,1,3.5,14.530584128211345,8.928941156035464,22.803594719863515,1,1,1
Child_7_12y,Recovery,C_high,0.75,1,5,14.530584128211345,8.928941156035464,22.803594719863515,1,1,1
Child_7_12y,Recovery,C_high,0.75,2,3.5,14.318562788929684,8.798258548152877,23.074478070553376,1,1,1
Child_7_12y,Recovery,C_high,0.75,2,5,14.318562788929684,8.798258548152877,23.074478070553376,1,1,1
Child_7_12y,Recovery,C_high,1,0.5,3.5,19.10879390818699,11.826482225345286,30.994865110484426,1,1,1
